sourceVocabTitle,targetVocabTitle,dtidentifier,dtpreferredLabel,Relationship,identifier,preferredLabel,DateCreated,Creator,mappingUrl,Status
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZRCNXTXT,Concentration of zirconium {Zr CAS 7440-67-7} per unit dry weight of sediment by compression into pellets and X-ray fluorescence,broader,SDN:P01::MZRSP012,Concentration of zirconium {Zr CAS 7440-67-7} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532792/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZRCNPEXT,Concentration of zirconium {Zr CAS 7440-67-7} per unit dry weight of sediment by acid digestion and inductively-coupled plasma atomic emission spectroscopy,broader,SDN:P01::MZRSP012,Concentration of zirconium {Zr CAS 7440-67-7} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532791/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZRCNICXT,Concentration of zirconium {Zr CAS 7440-67-7} per unit dry weight of sediment by inductively-coupled plasma mass spectrometry,broader,SDN:P01::MZRSP012,Concentration of zirconium {Zr CAS 7440-67-7} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532790/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNXXFXD2,"Concentration of zinc {Zn CAS 7440-66-6} per unit volume of the water body [dissolved plus reactive particulate <0.4/0.45um phase] by filtration, acidification, chelation, solvent extraction and atomic absorption spectroscopy",broader,SDN:P01::MTWD0057,Concentration of zinc {Zn CAS 7440-66-6} per unit volume of the water body [dissolved plus reactive particulate <0.4/0.45um phase],2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532263/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNXXCVDX,Concentration of zinc {Zn CAS 7440-66-6} per unit volume of the water body [dissolved plus reactive particulate phase] by cathodic stripping voltammetry,broader,SDN:P01::RWS00028,Concentration of zinc {Zn CAS 7440-66-6} per unit volume of the water body [dissolved plus reactive particulate phase],2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532246/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNXXAADZ,Concentration of zinc {Zn CAS 7440-66-6} per unit volume of the water body [dissolved plus reactive particulate <unknown phase] by filtration and atomic absorption spectroscopy,broader,SDN:P01::RWS00146,Concentration of zinc {Zn CAS 7440-66-6} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532245/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNDWCF14,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Subcomponent: flesh]},narrower,SDN:P01::XMETAL41,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Subcomponent: flesh]} by atomic absorption spectroscopy,2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530763/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNDWCF14,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Subcomponent: flesh]},narrower,SDN:P01::XMETAL48,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Subcomponent: flesh]} by inductively-coupled plasma mass spectrometry,2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530767/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNCNXXP2,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of suspended particulate material >0.4/0.45um,narrower,SDN:P01::ZNCNAAP2,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of suspended particulate material >0.4/0.45um by filtration and atomic absorption spectroscopy,2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531060/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNCNXXP2,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of suspended particulate material >0.4/0.45um,narrower,SDN:P01::ZNCNICP2,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of suspended particulate material >0.4/0.45um by acid leaching of filter residue and inductively-coupled plasma mass spectrometry,2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531061/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNCNXTXT,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of sediment by compression into pellets and X-ray fluorescence,broader,SDN:P01::MZNSP012,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532244/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNCNPEXT,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of sediment by acid digestion and inductively-coupled plasma atomic emission spectroscopy,broader,SDN:P01::MZNSP012,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532014/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNCNICXT,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of sediment by inductively-coupled plasma mass spectrometry,broader,SDN:P01::MZNSP012,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532202/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNCNICP2,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of suspended particulate material >0.4/0.45um by acid leaching of filter residue and inductively-coupled plasma mass spectrometry,broader,SDN:P01::ZNCNXXP2,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of suspended particulate material >0.4/0.45um,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532201/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNCNAAWF,"Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of sediment <63um by wet sieving, acid digestion and atomic absorption spectroscopy",broader,SDN:P01::RWSSED32,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of sediment <63um,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531925/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZNCNAAP2,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of suspended particulate material >0.4/0.45um by filtration and atomic absorption spectroscopy,broader,SDN:P01::ZNCNXXP2,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of suspended particulate material >0.4/0.45um,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532200/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::ZN04ICP6,"Concentration of zinc {Zn CAS 7440-66-6} per unit volume of the water body [dissolved plus reactive particulate <0.4/0.45um phase] by filtration, acidification and inductively-coupled plasma mass spectrometry",broader,SDN:P01::MTWD0057,Concentration of zinc {Zn CAS 7440-66-6} per unit volume of the water body [dissolved plus reactive particulate <0.4/0.45um phase],2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531938/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::Z080M00Z,Abundance of Ctenophora (ITIS: 53856: WoRMS 1248) per unit volume of the water body,narrower,SDN:P01::ACT01645,Abundance of Ctenophora (ITIS: 53856: WoRMS 1248) per unit volume of the water body by image analysis,2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531713/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::Z080M00Z,Abundance of Ctenophora (ITIS: 53856: WoRMS 1248) per unit volume of the water body,narrower,SDN:P01::ACT01646,Abundance of Ctenophora (ITIS: 53856: WoRMS 1248) per unit volume of the water body by optical microscopy,2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531712/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::YXCNXTXT,Concentration of yttrium {Y CAS 7440-65-5} per unit dry weight of sediment by compression into pellets and X-ray fluorescence,broader,SDN:P01::MYYSP012,Concentration of yttrium {Y CAS 7440-65-5} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532374/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::YXCNPEXT,Concentration of yttrium {Y CAS 7440-65-5} per unit dry weight of sediment by acid digestion and inductively-coupled plasma atomic emission spectroscopy,broader,SDN:P01::MYYSP012,Concentration of yttrium {Y CAS 7440-65-5} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532482/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::YXCNICXT,Concentration of yttrium {Y CAS 7440-65-5} per unit dry weight of sediment by inductively-coupled plasma mass spectrometry,broader,SDN:P01::MYYSP012,Concentration of yttrium {Y CAS 7440-65-5} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532334/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::YBCNPEXT,Concentration of ytterbium {Yb CAS 7440-64-4} per unit dry weight of sediment by acid digestion and inductively-coupled plasma atomic emission spectroscopy,broader,SDN:P01::HCMR0037,Concentration of ytterbium {Yb CAS 7440-64-4} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531873/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::YBCNICXT,Concentration of ytterbium {Yb CAS 7440-64-4} per unit dry weight of sediment by inductively-coupled plasma mass spectrometry,broader,SDN:P01::HCMR0037,Concentration of ytterbium {Yb CAS 7440-64-4} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531879/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::XPO210DG,Activity of polonium-210 {210Po CAS 13981-52-7} per unit volume of the water body [dissolved plus reactive particulate <1um phase],narrower,SDN:P01::PO10IGD9,"Activity of polonium-210 {210Po CAS 13981-52-7} per unit volume of the water body [dissolved plus reactive particulate <1um phase] by filtration, Mn absorption and isotope spiking and ingrowth",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530749/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::XPB210DG,Activity of lead-210 {210Pb CAS 14255-04-0} per unit volume of the water body [dissolved plus reactive particulate <1um phase],narrower,SDN:P01::PB10IGD9,"Activity of lead-210 {210Pb CAS 14255-04-0} per unit volume of the water body [dissolved plus reactive particulate <1um phase] by filtration, Mn absorption and isotope spiking and ingrowth",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530729/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::XMETAL48,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Subcomponent: flesh]} by inductively-coupled plasma mass spectrometry,broader,SDN:P01::ZNDWCF14,Concentration of zinc {Zn CAS 7440-66-6} per unit dry weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Subcomponent: flesh]},2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531907/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::XMETAL47,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Size: length 58-70mm Subcomponent: flesh]} by inductively-coupled plasma mass spectrometry,broader,SDN:P01::CBIOM027,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Size: length 58-70mm Subcomponent: flesh]},2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531858/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::XMETAL46,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Size: length 48-57mm Subcomponent: flesh]} by inductively-coupled plasma mass spectrometry,broader,SDN:P01::MBTOZNM4,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Size: length 48-57mm Subcomponent: flesh]},2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531857/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::XMETAL45,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Size: length 39-47mm Subcomponent: flesh]} by inductively-coupled plasma mass spectrometry,broader,SDN:P01::MBTOZNM3,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Size: length 39-47mm Subcomponent: flesh]},2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531865/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::XMETAL44,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Size: length 32-38mm Subcomponent: flesh]} by inductively-coupled plasma mass spectrometry,broader,SDN:P01::MBTOZNM2,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Size: length 32-38mm Subcomponent: flesh]},2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531905/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::XMETAL43,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Size: length 25-31mm Subcomponent: flesh]} by inductively-coupled plasma mass spectrometry,broader,SDN:P01::MBTOZNM1,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Size: length 25-31mm Subcomponent: flesh]},2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531863/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::XMETAL42,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Limanda limanda (ITIS: 172881: WoRMS 127139) [Sex: female Size: length 200-249mm Subcomponent: liver]} by inductively-coupled plasma mass spectrometry,broader,SDN:P01::CBIOM005,Concentration of zinc {Zn CAS 7440-66-6} per unit wet weight of biota {Limanda limanda (ITIS: 172881: WoRMS 127139) [Sex: female Size: length 200-249mm Subcomponent: liver]},2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531846/,accepted
