sourceVocabTitle,targetVocabTitle,dtidentifier,dtpreferredLabel,Relationship,identifier,preferredLabel,DateCreated,Creator,mappingUrl,Status
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::ZNTC,Zooplankton non taxonomy-related biomass expressed as carbon per unit volume of the water column,narrower,SDN:P07::CF14N35,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,2010-10-15 09:10:24,Roy Lowry,http://vocab.nerc.ac.uk/mapping/I/183107/,accepted
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::ZNTC,Zooplankton non taxonomy-related biomass expressed as carbon per unit volume of the water column,narrower,SDN:P07::CF14N46,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,2010-10-15 09:10:24,Roy Lowry,http://vocab.nerc.ac.uk/mapping/I/183108/,accepted
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::ZNTC,Zooplankton non taxonomy-related biomass expressed as carbon per unit volume of the water column,related,SDN:P07::CF14N32,mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,2010-10-15 09:10:24,Roy Lowry,http://vocab.nerc.ac.uk/mapping/I/183106/,accepted
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::ZCTC,Zooplankton taxonomy-related biomass expressed as carbon per unit volume of the water column,related,SDN:P07::CF14N36,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,2010-10-15 09:10:24,Roy Lowry,http://vocab.nerc.ac.uk/mapping/I/183105/,accepted
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::WVST,Wave height and period statistics,narrower,SDN:P07::IRPTM00V,sea_surface_wave_mean_height,2018-09-26 09:09:46,Rob Thomas,http://vocab.nerc.ac.uk/mapping/I/1534552/,accepted
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::WVST,Wave height and period statistics,narrower,SDN:P07::JNQS0CMX,sea_surface_wave_maximum_height,2018-09-26 09:09:46,Rob Thomas,http://vocab.nerc.ac.uk/mapping/I/1534554/,accepted
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::WVST,Wave height and period statistics,narrower,SDN:P07::OCVYVB2M,sea_surface_wave_period_of_highest_wave,2018-09-26 09:09:46,Rob Thomas,http://vocab.nerc.ac.uk/mapping/I/1534551/,accepted
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::WVST,Wave height and period statistics,narrower,SDN:P07::SUM7H3HM,sea_surface_wave_mean_period,2018-09-26 09:09:46,Rob Thomas,http://vocab.nerc.ac.uk/mapping/I/1534555/,accepted
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::WVST,Wave height and period statistics,narrower,SDN:P07::CFSN0377,sea_surface_swell_wave_period,2007-07-05 04:07:21,Roy Lowry,http://vocab.nerc.ac.uk/mapping/I/32317/,accepted
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::WVST,Wave height and period statistics,narrower,SDN:P07::CFSN0378,sea_surface_swell_wave_significant_height,2007-07-05 04:07:21,Roy Lowry,http://vocab.nerc.ac.uk/mapping/I/32318/,accepted
SeaDataNet Parameter Discovery Vocabulary,Climate and Forecast Standard Names,SDN:P02::WVST,Wave height and period statistics,narrower,SDN:P07::CFSN0385,sea_surface_wave_significant_height,2007-07-05 04:07:21,Roy Lowry,http://vocab.nerc.ac.uk/mapping/I/32321/,accepted
