RI,table,variable,type
ACTRIS,actris,__entry_key,string
ACTRIS,actris,time,timestamp[ms]
ACTRIS,actris,time_bounds,double
ACTRIS,actris,altitude,double
ACTRIS,actris,wavelength,float
ACTRIS,actris,backscatter_calibration_value,float
ACTRIS,actris,error_retrieval_method,int8
ACTRIS,actris,backscatter_evaluation_method,int8
ACTRIS,actris,backscatter_calibration_range_search_algorithm,int8
ACTRIS,actris,elastic_backscatter_algorithm,int8
ACTRIS,actris,longitude,float
ACTRIS,actris,latitude,float
ACTRIS,actris,station_altitude,float
ACTRIS,actris,zenith_angle,float
ACTRIS,actris,shots,int32
ACTRIS,actris,atmospheric_molecular_calculation_source,int8
ACTRIS,actris,cirrus_contamination,int8
ACTRIS,actris,cirrus_contamination_source,int8
ACTRIS,actris,quality_control_level,int32
ACTRIS,actris,basic_quality_control,int32
ACTRIS,actris,advanced_quality_control,int32
ACTRIS,actris,backscatter,double
ACTRIS,actris,error_backscatter,double
ACTRIS,actris,vertical_resolution,double
ACTRIS,actris,assumed_particle_lidar_ratio,double
ACTRIS,actris,user_defined_category,int32
ACTRIS,actris,backscatter_calibration_range,float
ACTRIS,actris,backscatter_calibration_search_range,float
ACTRIS,actris,cloud_mask,int8
ACTRIS,actris,raman_backscatter_algorithm,int8
ACTRIS,actris,volumedepolarization,double
ACTRIS,actris,error_volumedepolarization,double
ACTRIS,actris,particledepolarization,double
ACTRIS,actris,error_particledepolarization,double
ACTRIS,actris,extinction_assumed_wavelength_dependence,float
ACTRIS,actris,extinction_evaluation_algorithm,int8
ACTRIS,actris,extinction,double
ACTRIS,actris,error_extinction,double
ACTRIS,actris,lidarratio,double
ACTRIS,actris,error_lidarratio,double
ACTRIS,actris,aerosollayerheight,double
ACTRIS,actris,mixinglayerheight,double
ACTRIS,actris,__SkippedFraction,float
ACTRIS,actris-in-situ,__entry_key,string
ACTRIS,actris-in-situ,time,timestamp[ms]
ACTRIS,actris-in-situ,time_bnds,double
ACTRIS,actris-in-situ,metadata_time,timestamp[ms]
ACTRIS,actris-in-situ,metadata_time_bnds,double
ACTRIS,actris-in-situ,ammonium_mg N_per_l,double
ACTRIS,actris-in-situ,ammonium_mg_per_l,double
ACTRIS,actris-in-situ,chloride,double
ACTRIS,actris-in-situ,sodium,double
ACTRIS,actris-in-situ,sulphate_corrected_ug S_per_m3,double
ACTRIS,actris-in-situ,sulphate_corrected_ug_per_m3,double
ACTRIS,actris-in-situ,calcium,double
ACTRIS,actris-in-situ,magnesium,double
ACTRIS,actris-in-situ,potassium,double
ACTRIS,actris-in-situ,benz_a_anthracene,double
ACTRIS,actris-in-situ,cadmium,double
ACTRIS,actris-in-situ,lead,double
ACTRIS,actris-in-situ,ozone,double
ACTRIS,actris-in-situ,phenanthrene,double
ACTRIS,actris-in-situ,precipitation_amount,double
ACTRIS,actris-in-situ,arsenic,double
ACTRIS,actris-in-situ,chromium,double
ACTRIS,actris-in-situ,copper,double
ACTRIS,actris-in-situ,iron,double
ACTRIS,actris-in-situ,nickel,double
ACTRIS,actris-in-situ,vanadium,double
ACTRIS,actris-in-situ,zinc,double
ACTRIS,actris-in-situ,sulphur_dioxide,double
ACTRIS,actris-in-situ,benzo_a_pyrene,double
ACTRIS,actris-in-situ,sulphate_total_ug S_per_m3,double
ACTRIS,actris-in-situ,sulphate_total_ug_per_m3,double
ACTRIS,actris-in-situ,ammonium_ug N_per_m3,double
ACTRIS,actris-in-situ,ammonium_ug_per_m3,double
ACTRIS,actris-in-situ,2-methylpropane,double
ACTRIS,actris-in-situ,ethyne,double
ACTRIS,actris-in-situ,n-pentane_ng_per_m3,double
ACTRIS,actris-in-situ,n-pentane_pmol_per_mol,double
ACTRIS,actris-in-situ,propane,double
ACTRIS,actris-in-situ,propene,double
ACTRIS,actris-in-situ,pH,double
ACTRIS,actris-in-situ,alpha_HCH,double
ACTRIS,actris-in-situ,gamma_HCH,double
ACTRIS,actris-in-situ,sum_ammonia_and_ammonium,double
ACTRIS,actris-in-situ,nitrate_ug N_per_m3,double
ACTRIS,actris-in-situ,nitrate_ug_per_m3,double
ACTRIS,actris-in-situ,HCB,double
ACTRIS,actris-in-situ,fluoranthene,double
ACTRIS,actris-in-situ,pp_DDD,double
ACTRIS,actris-in-situ,PBEB,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol,double
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3,double
ACTRIS,actris-in-situ,precipitation_amount_off,double
ACTRIS,actris-in-situ,pressure,double
ACTRIS,actris-in-situ,relative_humidity,double
ACTRIS,actris-in-situ,temperature,double
ACTRIS,actris-in-situ,Wavelength,double
ACTRIS,actris-in-situ,aerosol_light_backscattering_coefficient_amean,double
ACTRIS,actris-in-situ,aerosol_light_backscattering_coefficient_prec1587,double
ACTRIS,actris-in-situ,aerosol_light_backscattering_coefficient_perc8413,double
ACTRIS,actris-in-situ,aerosol_light_scattering_coefficient_amean,double
ACTRIS,actris-in-situ,aerosol_light_scattering_coefficient_prec1587,double
ACTRIS,actris-in-situ,aerosol_light_scattering_coefficient_perc8413,double
ACTRIS,actris-in-situ,nitrogen_monoxide,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_amean,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_prec1587,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_perc8413,double
ACTRIS,actris-in-situ,sum_nitric_acid_and_nitrate,double
ACTRIS,actris-in-situ,pp_DDE,double
ACTRIS,actris-in-situ,pp_DDT,double
ACTRIS,actris-in-situ,ozone_nmol_per_mol,double
ACTRIS,actris-in-situ,ozone_ug_per_m3,double
ACTRIS,actris-in-situ,heptachlorepoxide,double
ACTRIS,actris-in-situ,thallium,double
ACTRIS,actris-in-situ,2-methylpropenal,double
ACTRIS,actris-in-situ,cobalt,double
ACTRIS,actris-in-situ,downward_solar_radiation_flux_density,double
ACTRIS,actris-in-situ,wind_direction,double
ACTRIS,actris-in-situ,wind_speed,double
ACTRIS,actris-in-situ,2-methylpropene,double
ACTRIS,actris-in-situ,3-methylpentane_ng_per_m3,double
ACTRIS,actris-in-situ,3-methylpentane_pmol_per_mol,double
ACTRIS,actris-in-situ,trans_NO,double
ACTRIS,actris-in-situ,indene,double
ACTRIS,actris-in-situ,nitric_acid,double
ACTRIS,actris-in-situ,pm10_mass,double
ACTRIS,actris-in-situ,1-butene_ng_per_m3,double
ACTRIS,actris-in-situ,1-butene_pmol_per_mol,double
ACTRIS,actris-in-situ,2-2-4-trimethylpentane_ng_per_m3,double
ACTRIS,actris-in-situ,2-2-4-trimethylpentane_pmol_per_mol,double
ACTRIS,actris-in-situ,2-2-dimethylbutane,double
ACTRIS,actris-in-situ,2-2-dimethylpropane,double
ACTRIS,actris-in-situ,2-methylbutane_ng_per_m3,double
ACTRIS,actris-in-situ,2-methylbutane_pmol_per_mol,double
ACTRIS,actris-in-situ,2-methylhexane,double
ACTRIS,actris-in-situ,2-methylpentane_ng_per_m3,double
ACTRIS,actris-in-situ,2-methylpentane_pmol_per_mol,double
ACTRIS,actris-in-situ,benzene_ng_per_m3,double
ACTRIS,actris-in-situ,benzene_pmol_per_mol,double
ACTRIS,actris-in-situ,cis-2-butene_ng_per_m3,double
ACTRIS,actris-in-situ,cis-2-butene_pmol_per_mol,double
ACTRIS,actris-in-situ,cyclo-hexane,double
ACTRIS,actris-in-situ,ethane,double
ACTRIS,actris-in-situ,ethene,double
ACTRIS,actris-in-situ,ethylbenzene_ng_per_m3,double
ACTRIS,actris-in-situ,ethylbenzene_pmol_per_mol,double
ACTRIS,actris-in-situ,isoprene_ng_per_m3,double
ACTRIS,actris-in-situ,isoprene_pmol_per_mol,double
ACTRIS,actris-in-situ,m-p-xylene_ng_per_m3,double
ACTRIS,actris-in-situ,m-p-xylene_pmol_per_mol,double
ACTRIS,actris-in-situ,n-butane_ng_per_m3,double
ACTRIS,actris-in-situ,n-butane_pmol_per_mol,double
ACTRIS,actris-in-situ,n-heptane_ng_per_m3,double
ACTRIS,actris-in-situ,n-heptane_pmol_per_mol,double
ACTRIS,actris-in-situ,n-hexane_ng_per_m3,double
ACTRIS,actris-in-situ,n-hexane_pmol_per_mol,double
ACTRIS,actris-in-situ,n-octane_ng_per_m3,double
ACTRIS,actris-in-situ,n-octane_pmol_per_mol,double
ACTRIS,actris-in-situ,o-xylene_ng_per_m3,double
ACTRIS,actris-in-situ,o-xylene_pmol_per_mol,double
ACTRIS,actris-in-situ,toluene_ng_per_m3,double
ACTRIS,actris-in-situ,toluene_pmol_per_mol,double
ACTRIS,actris-in-situ,trans-2-butene_ng_per_m3,double
ACTRIS,actris-in-situ,trans-2-butene_pmol_per_mol,double
ACTRIS,actris-in-situ,elemental_carbon_amean,double
ACTRIS,actris-in-situ,elemental_carbon_uncertainty,double
ACTRIS,actris-in-situ,organic_carbon_amean,double
ACTRIS,actris-in-situ,organic_carbon_uncertainty,double
ACTRIS,actris-in-situ,organic_carbon_amean_Fraction,double
ACTRIS,actris-in-situ,total_carbon_amean,double
ACTRIS,actris-in-situ,total_carbon_uncertainty,double
ACTRIS,actris-in-situ,conductivity,double
ACTRIS,actris-in-situ,nitrate_mg N_per_l,double
ACTRIS,actris-in-situ,nitrate_mg_per_l,double
ACTRIS,actris-in-situ,sulphate_total_mg S_per_l,double
ACTRIS,actris-in-situ,sulphate_total_mg_per_l,double
